City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Lendava,SI,2021-06-03 18:37:27,46.5649,16.4509,74.52,80,81,5.19
260,Sorland,NO,2021-06-03 18:37:27,67.667,12.6934,59.07,84,23,2.24
261,Mengen,DE,2021-06-03 18:37:27,48.0495,9.3301,72.01,85,56,2.08
262,Urumqi,CN,2021-06-03 18:37:28,43.801,87.6005,81.55,21,0,5.75
263,Quatre Cocos,MU,2021-06-03 18:36:42,-20.2078,57.7625,75.31,78,46,16.44
264,Galesong,ID,2021-06-03 18:37:28,-5.3166,119.3661,75.22,77,100,4.63
265,Muisne,EC,2021-06-03 18:37:29,0.6,-80.0333,84.31,76,54,8.79
266,Aljezur,PT,2021-06-03 18:37:29,37.3191,-8.8033,61.05,70,3,19.28
267,Debre Birhan,ET,2021-06-03 18:37:30,9.6833,39.5333,56.95,56,77,5.5
268,Cananeia,BR,2021-06-03 18:37:30,-25.0147,-47.9267,72.12,77,46,4.59
269,Puerto Narino,CO,2021-06-03 18:37:30,-3.7703,-70.3831,89.55,61,49,2.44
270,Guajara,BR,2021-06-03 18:37:31,-2.9667,-57.6667,82.11,74,90,5.88
271,Kahului,US,2021-06-03 18:37:31,20.8947,-156.47,81.97,63,20,16.11
272,Tuensang,IN,2021-06-03 18:37:32,26.2833,94.8333,68.74,97,92,2.06
273,Ossora,RU,2021-06-03 18:37:32,59.2353,163.0719,45.05,71,6,1.54
274,Omboue,GA,2021-06-03 18:37:32,-1.5746,9.2618,76.96,89,5,6.06
275,Saldanha,ZA,2021-06-03 18:32:49,-33.0117,17.9442,55.45,73,73,7.0
276,Grand-Lahou,CI,2021-06-03 18:37:33,5.1367,-5.0242,81.91,79,12,11.81
277,San Patricio,US,2021-06-03 18:35:39,28.017,-97.5169,84.06,61,100,12.71
278,Guerrero Negro,MX,2021-06-03 18:37:33,27.9769,-114.0611,73.85,51,11,10.04
279,Honningsvag,NO,2021-06-03 18:37:34,70.9821,25.9704,60.55,41,0,27.63
280,San Vicente,AR,2021-06-03 18:37:34,-26.6167,-54.1333,79.11,48,2,4.47
281,Santarem,BR,2021-06-03 18:33:19,-2.4431,-54.7083,86.13,70,20,10.36
282,Kruisfontein,ZA,2021-06-03 18:37:35,-34.0033,24.7314,48.88,71,3,4.09
283,Maceio,BR,2021-06-03 18:37:35,-9.6658,-35.7353,80.04,78,75,8.59
284,Anzio,IT,2021-06-03 18:37:35,41.4853,12.6179,80.28,64,0,6.13
285,Ushtobe,KZ,2021-06-03 18:37:36,45.2514,77.9838,70.25,53,17,9.6
286,Irgakly,RU,2021-06-03 18:37:36,44.3611,44.7556,64.74,67,100,6.2
287,Koratla,IN,2021-06-03 18:37:37,18.8167,78.7167,79.81,73,100,4.59
288,Ostrovnoy,RU,2021-06-03 18:37:37,68.0531,39.5131,65.41,50,8,11.14
289,College,US,2021-06-03 18:37:37,64.8569,-147.8028,64.47,51,75,4.61
290,Isangel,VU,2021-06-03 18:37:06,-19.55,169.2667,72.14,78,47,7.54
291,Bowen,AU,2021-06-03 18:35:17,-20.0167,148.2333,62.82,91,2,6.35
292,Port Augusta,AU,2021-06-03 18:37:38,-32.5,137.7667,55.71,78,34,7.92
293,Dunedin,NZ,2021-06-03 18:36:17,-45.8742,170.5036,47.28,77,47,4.23
294,Humaita,BR,2021-06-03 18:37:39,-7.5061,-63.0208,94.98,28,3,3.06
