City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Prince Rupert,CA,54.3161,-130.3201,51.03,82,100,4.61,overcast clouds
161,Shar,KZ,49.5886,81.0453,63.34,32,3,14.79,clear sky
162,Mareeba,AU,-17.0,145.4333,75.33,91,88,5.66,light rain
163,Hervey Bay,AU,-25.2986,152.8535,71.04,41,47,3.0,scattered clouds
164,Severo-Kurilsk,RU,50.6789,156.125,51.69,78,98,7.52,overcast clouds
165,Nome,US,64.5011,-165.4064,45.16,93,90,5.75,overcast clouds
166,Luganville,VU,-15.5333,167.1667,78.06,76,64,14.2,broken clouds
167,Avarua,CK,-21.2078,-159.775,73.45,64,75,5.75,light rain
168,Lukulu,ZM,-14.3707,23.242,54.1,57,54,6.22,broken clouds
169,Butaritari,KI,3.0707,172.7902,83.37,73,52,8.1,broken clouds
170,Kaitangata,NZ,-46.2817,169.8464,47.93,81,30,3.42,scattered clouds
171,Puerto Ayora,EC,-0.7393,-90.3518,72.55,92,28,5.01,scattered clouds
172,Port Blair,IN,11.6667,92.75,85.05,76,100,20.09,overcast clouds
173,Kovur,IN,14.4833,79.9833,98.11,37,99,20.65,overcast clouds
174,Kohat,PK,33.582,71.4493,95.07,15,0,6.73,clear sky
175,Roebourne,AU,-20.7833,117.1333,76.17,54,95,5.77,overcast clouds
176,Bushehr,IR,28.9684,50.8385,89.78,45,0,17.31,clear sky
177,Chicla,PE,-11.705,-76.2686,44.1,75,96,4.25,overcast clouds
178,Sinnamary,GF,5.3833,-52.95,74.77,90,100,3.85,overcast clouds
179,Yinchuan,CN,38.4681,106.2731,92.05,22,4,8.01,clear sky
180,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.35,83,7,6.62,clear sky
181,North Myrtle Beach,US,33.816,-78.68,79.0,85,75,1.01,broken clouds
182,Denpasar,ID,-8.65,115.2167,87.46,66,20,12.66,few clouds
183,Springdale,US,36.1867,-94.1288,78.53,90,1,9.22,clear sky
184,Evensk,RU,61.95,159.2333,54.39,53,94,3.58,overcast clouds
185,Dudinka,RU,69.4058,86.1778,38.66,93,100,9.1,overcast clouds
186,Arraial Do Cabo,BR,-22.9661,-42.0278,70.97,73,100,20.94,overcast clouds
187,Longyearbyen,SJ,78.2186,15.6401,37.24,65,40,10.36,scattered clouds
188,Fairbanks,US,64.8378,-147.7164,65.61,59,20,5.75,few clouds
189,Uray,RU,60.1247,64.7758,74.91,32,33,9.31,scattered clouds
190,Natal,BR,-5.795,-35.2094,73.08,90,91,8.72,overcast clouds
191,Bluefields,NI,12.0137,-83.7635,76.98,91,100,2.44,overcast clouds
192,Birjand,IR,32.8663,59.2211,93.99,7,0,7.14,clear sky
193,Yulara,AU,-25.2406,130.9889,76.84,12,10,10.36,clear sky
194,Broome,US,42.2506,-75.833,64.98,82,90,5.75,overcast clouds
195,Marzuq,YE,14.4,46.4667,90.48,19,91,2.59,overcast clouds
196,Manzil Salim,TN,35.8567,8.4765,69.33,52,52,1.83,broken clouds
197,Mount Isa,AU,-20.7333,139.5,80.37,12,1,5.75,clear sky
198,Maturin,VE,9.75,-63.1767,70.7,98,8,4.12,clear sky
199,Thompson,CA,55.7435,-97.8558,53.76,94,90,10.36,mist
200,Dikson,RU,73.5069,80.5464,32.13,94,100,4.41,overcast clouds
201,Saint-Pierre,RE,-21.3393,55.4781,76.57,73,0,14.97,clear sky
202,Riohacha,CO,11.5444,-72.9072,79.23,82,6,11.61,clear sky
203,Upernavik,GL,72.7868,-56.1549,34.38,94,92,6.13,overcast clouds
204,Ribeira Grande,PT,38.5167,-28.7,66.74,88,76,1.54,broken clouds
205,La Libertad,EC,-2.2333,-80.9,70.56,83,83,9.31,broken clouds
206,Gat,IL,31.61,34.7642,86.4,39,0,6.53,clear sky
207,Sept-Iles,CA,50.2001,-66.3821,49.05,79,38,3.47,scattered clouds
208,Puerto Leguizamo,CO,-0.1934,-74.7819,70.59,99,57,1.66,broken clouds
209,Sangar,RU,63.9242,127.4739,61.12,37,100,7.76,overcast clouds
210,Callaway,US,30.153,-85.5699,80.53,75,20,4.0,few clouds
211,Ko Samui,TH,9.5357,99.9357,83.52,73,100,19.3,overcast clouds
212,Smithers,CA,54.7804,-127.1743,51.24,69,87,3.09,overcast clouds
213,Sosnovo-Ozerskoye,RU,52.5249,111.5418,70.2,42,47,12.82,scattered clouds
214,Skibbereen,IE,51.55,-9.2667,51.6,86,53,3.6,broken clouds
215,Puerto Gaitan,CO,4.3133,-72.0816,72.72,94,75,5.44,broken clouds
216,Rocha,UY,-34.4833,-54.3333,48.51,68,80,11.77,broken clouds
217,Sharan,RU,54.8167,54.0,56.89,90,100,15.26,light rain
218,Capinopolis,BR,-18.6819,-49.5697,63.19,89,99,5.41,overcast clouds
219,Kiama,AU,-34.6833,150.8667,62.38,56,65,13.0,light rain
220,Salinopolis,BR,-0.6136,-47.3561,75.69,89,98,6.58,moderate rain
221,Talcahuano,CL,-36.7167,-73.1167,53.28,100,90,6.91,fog
222,Tomobe,JP,36.35,140.3,85.8,63,62,7.65,broken clouds
223,Emerald,AU,-23.5333,148.1667,76.33,19,0,1.1,clear sky
224,Puerto Suarez,BO,-18.95,-57.8,62.64,77,100,2.93,overcast clouds
225,Tual,ID,-5.6667,132.75,81.66,79,68,13.65,broken clouds
226,Ust-Kulom,RU,61.6864,53.6902,73.94,29,1,5.82,clear sky
227,Huarmey,PE,-10.0681,-78.1522,64.92,86,12,7.58,few clouds
228,Hasaki,JP,35.7333,140.8333,86.29,68,99,14.58,overcast clouds
229,Balykshi,KZ,47.0667,51.8667,84.2,39,0,6.71,clear sky
230,Kahului,US,20.8947,-156.47,75.22,81,1,18.41,clear sky
231,Anloga,GH,5.7947,0.8973,80.37,83,100,8.75,overcast clouds
232,Anadyr,RU,64.75,177.4833,41.5,93,75,13.0,light rain
233,Borovskoy,KZ,53.8,64.15,69.71,36,3,10.09,clear sky
234,Florence,IT,43.7667,11.25,73.74,78,0,1.14,clear sky
235,Luanda,AO,-8.8368,13.2343,77.0,88,75,2.3,broken clouds
236,Bubaque,GW,11.2833,-15.8333,80.24,79,100,3.96,light rain
237,Westport,US,41.1415,-73.3579,65.08,90,90,4.0,overcast clouds
238,Hibbing,US,47.4272,-92.9377,60.3,100,90,0.0,fog
239,Isla Vista,US,34.4133,-119.861,70.68,65,1,0.0,clear sky
240,Inirida,CO,3.8653,-67.9239,72.41,99,68,2.42,moderate rain
241,Grand Gaube,MU,-20.0064,57.6608,77.38,63,99,11.01,overcast clouds
242,Lima,PE,-12.0432,-77.0282,62.91,90,90,9.22,overcast clouds
243,Coihaique,CL,-45.5752,-72.0662,48.15,66,40,10.36,light rain
244,Miranda,CO,3.2499,-76.2281,66.33,92,100,4.81,overcast clouds
245,Pasighat,IN,28.0667,95.3333,79.63,90,100,2.3,overcast clouds
246,Coquimbo,CL,-29.9533,-71.3436,51.53,100,90,3.44,mist
247,Biak,ID,-0.9131,122.8766,81.91,74,93,4.29,light rain
248,Russell,US,32.3502,-85.1999,74.97,94,77,4.68,broken clouds
249,Imbituba,BR,-28.24,-48.6703,57.09,88,79,4.03,broken clouds
250,Bandarbeyla,SO,9.4942,50.8122,87.06,48,58,28.5,broken clouds
251,Ubinskoye,RU,55.3068,79.6802,60.01,49,96,7.18,overcast clouds
252,Bethel,US,41.3712,-73.414,63.45,84,90,0.0,overcast clouds
253,Ossora,RU,59.2353,163.0719,46.87,86,96,2.93,overcast clouds
254,Nemuro,JP,43.3236,145.575,54.97,95,100,22.62,overcast clouds
255,General Pico,AR,-35.6566,-63.7568,53.53,72,15,8.1,few clouds
256,Berlevag,NO,70.8578,29.0864,60.01,59,26,19.28,scattered clouds
257,Norman Wells,CA,65.282,-126.8329,52.5,92,100,4.14,light rain
258,Tiznit,MA,29.5833,-9.5,69.26,42,3,1.43,clear sky
259,Nakapiripirit,UG,1.9167,34.7833,73.22,60,99,4.99,overcast clouds
260,Dabola,GN,10.75,-11.1167,71.49,90,59,0.69,broken clouds
261,Saint Anthony,US,45.0205,-93.218,74.8,55,1,3.0,clear sky
262,Hovd,MN,48.0056,91.6419,71.33,24,65,10.0,broken clouds
263,Alihe,CN,50.5667,123.7167,85.95,21,9,2.21,clear sky
264,Ilabaya,PE,-17.4208,-70.5133,58.77,44,0,1.99,clear sky
265,Kruisfontein,ZA,-34.0033,24.7314,59.68,39,84,8.1,broken clouds
266,Rundu,NA,-17.9333,19.7667,49.1,50,4,5.1,clear sky
267,Kultuk,RU,51.7208,103.6956,52.09,85,78,2.73,light rain
268,Ouadda,CF,8.0777,22.4007,78.58,55,92,2.75,overcast clouds
269,Galesong,ID,-5.3166,119.3661,86.02,67,84,7.38,moderate rain
270,The Pas,CA,53.8251,-101.2541,55.42,100,90,9.22,overcast clouds
271,Antalaha,MG,-14.9003,50.2788,70.7,87,98,6.67,light rain
272,Saeby,DK,57.3319,10.5225,57.96,74,31,26.37,scattered clouds
273,Gao,ML,16.6362,1.637,87.71,28,19,10.09,few clouds
274,Grindavik,IS,63.8424,-22.4338,39.67,65,20,19.57,few clouds
275,Saint-Georges,GD,12.0564,-61.7485,78.66,82,100,14.14,overcast clouds
276,Palagiano,IT,40.5782,17.0374,77.49,52,95,7.0,overcast clouds
277,Tigil,RU,57.8,158.6667,53.49,60,82,12.19,broken clouds
278,Saint George,US,37.1041,-113.5841,76.78,11,1,1.01,clear sky
279,Portland,US,45.5234,-122.6762,60.78,86,90,1.99,overcast clouds
